Arizona,PHX3,FC,"6835 W. Buckeye Rd. Phoenix, AZ, 85043","6835 West Buckeye Road, Phoenix, AZ, USA",33.433597,-112.207911,success
Arizona,PHX5,FC,"16920 W. Commerce Drive, Goodyear, AZ 85338","16920 W Commerce Dr, Goodyear, AZ, USA",33.412041,-112.421795,success
Arizona,PHX6,FC,"4750 W. Mohave Street, Phoenix, AZ 85043","4750 W Mohave St, Phoenix, AZ, USA",33.432598,-112.164721,success
Arizona,PHX7,FC,"800 N. 75th Avenue, Phoenix, AZ 85043","North 75th Avenue, Phoenix, AZ, USA",33.500047,-112.220623,doubt
Arizona,TFC1,FC,"5050 W. Mohave Street, Phoenix, AZ 85043","West Mohave Street, Phoenix, AZ, USA",33.431144,-112.078129,doubt
Arizona,PHX9,FC,"777 S 79th Avenue, Tolleson, Maricopa County, AZ 85353 Arizona","135 S 79th Ave, Tolleson, AZ, USA",33.445555,-112.227568,doubt
California,SNA4,FC,2496 W Walnut St. Rialto CA 92376-3009,"West Walnut Street, Rialto, CA, USA",34.128505,-117.422936,doubt
California,SNA6,FC,"5250 Goodman Road, Eastvale, CA 92880","Eastvale, CA, USA",33.957534,-117.585833,doubt
California,SNA7/8,FC,"555 East Orange Show Rd. San Bernardino, CA 92408-2453","East Orange Show Road, San Bernardino, CA, USA",34.079657,-117.267013,doubt
California,SNA9,FC,"5250 Goodman Road, Eastvale, CA 92880","Eastvale, CA, USA",33.957534,-117.585833,doubt
California,SJC7,FC,"188 Mountain House Pkwy, Tracy, CA 95391","Tracy, CA, USA",37.739654,-121.438134,doubt
California,ONT2/5/7,SC,"2020 E Central Avenue, Southgate Building 4, San Bernardino, CA 92408-2606","San Bernardino, CA, USA",34.136809,-117.29278,doubt
California,ONT6,FC,"24208 San Michele, Moreno Valley, CA 92551","Moreno Valley, CA, USA",33.920202,-117.202982,doubt
California,ONT9,FC,"2125 W San Bernardino Ave, Redlands, CA, United States","2125 W San Bernardino Ave, Redlands, CA, USA",34.075731,-117.228357,success
California,OAK3,FC,"255 Park Center Drive, Patterson City, CA 95363-8876","255 Park Center Dr, Patterson, CA, USA",37.469972,-121.165542,success
California,OAK4,FC,"1555 N. Chrisman Road, Tracy, CA 95304-9370","1555 N Chrisman Rd, Tracy, CA, USA",37.745664,-121.406031,success
